Feature,Random Forest,Logistic,KNN,MLP (SHAP)
acousticness,0.12143092453704642,0.002488813845863431,0.05791065679925015,0.022459828495107036
loudness,0.11022111454303025,0.0058084011629711855,0.05712720173208911,0.01858291082883565
energy,0.11017629036378405,0.015161951907737581,0.06553345739255367,0.030279731685277634
tempo,0.10118666202343254,0.00034761864928284825,0.06979067257172474,0.015142974311715499
danceability,0.10028881606461519,-0.00013178299504513547,0.07802507483591191,0.019367718757116043
speechiness,0.10009642293428972,0.00507812460053165,0.04209570794956786,0.031414779759518306
valence,0.09861532695444736,0.000579115573288901,0.07765616776482372,0.019894375525998233
liveness,0.09796754029475518,-0.00035039724971903827,0.05421803074864482,0.010231968633530502
instrumentalness,0.08385687391235357,0.0003879295258983247,0.06102961861339338,0.018599501663090757
key,0.053498957430806876,-0.0002519728405718439,0.07537646559872312,0.011962307718349633
mode,0.013411474696026753,0.00021955623619817518,0.07416239970869985,0.01168431007709206
time_signature,0.009249596245412056,-0.0001325545313945123,0.0290368043623051,0.0072607517370714
