,count,mean,std,min,25%,median,50%,75%,max
acousticness,82950.0,0.24,0.304,0.0,0.004,0.079,0.079,0.409,0.996
danceability,82950.0,0.521,0.175,0.0,0.397,0.525,0.525,0.648,0.98
energy,82950.0,0.653,0.249,0.0,0.476,0.696,0.696,0.868,1.0
instrumentalness,82950.0,0.155,0.29,0.0,0.0,0.001,0.001,0.114,0.993
key,82950.0,5.328,3.562,0.0,2.0,5.0,5.0,9.0,11.0
liveness,82950.0,0.196,0.16,0.009,0.095,0.13,0.13,0.258,1.0
loudness,82950.0,-8.664,4.338,-50.014,-10.943,-7.779,-7.779,-5.537,3.744
mode,82950.0,0.653,0.476,0.0,0.0,1.0,1.0,1.0,1.0
speechiness,82950.0,0.074,0.079,0.0,0.034,0.045,0.045,0.076,0.96
tempo,82950.0,122.379,29.479,0.0,99.848,120.11,120.11,140.186,219.926
time_signature,82950.0,3.905,0.393,0.0,4.0,4.0,4.0,4.0,5.0
valence,82950.0,0.479,0.258,0.0,0.265,0.47,0.47,0.689,0.989
